,"nom.famille","QtG","NewsChannels","RadioTV","Specialized","Interv_Committee","Presence_Committee","Submitted_Amdts","Reports","WrittenQ","Rooms","twitt_flwrs","NationPress","LocPress","OfficialFunctions","Interv_Plenary","NbVotes","Gender","Age","PolGroup","Career","Education"
"404","Ressiguier","-2.11352473245947",0,0,0,"-0.623082729576694","-2.06869339515792",162,0,20,0,"4798.00000000002",3,11,0,53,231,"F",40,"LFI","6 - PolExp","BA_or_less"
"405","Laabid","-0.66408821840219",0,0,0,"-0.792042222798094","0.00188751721287685",16,0,3,11,"3014.00000000001",4,38,0,6,242,"M",48,"LREM","1 - Novices","Master"
"406","Essayan","0.502901935763704",0,0,0,"-0.451519749012514","0.0678683644098346",5,0,5,0,"1364.00",4,6,0,72,185,"F",60,"MODEM","1 - LocalRoots","Master"
"407","Hai","0.769426349597021",0,0,0,"-0.392603685953189","-0.00627828041019079",20,7,0,18,"4073.00",2,10,0,66,338,"F",37,"LREM","1 - Novices","BA_or_less"
"408","Ramassamy","0.132492628119974",0,0,0,"-0.752595467031926","-1.92715507434732",68,0,8,1,"0.00",1,0,0,26,43,"F",56,"LR","1 - LocalRoots","NoInfo"
"409","Moutchou","-0.66408821840219",1,1,5,"-0.0128016219175898","1.3850151875044",50,2,6,19,"5858.00000000001",14,5,0,111,274,"F",37,"LREM","1 - Novices","Master"
"410","Pouzyreff","0.769426349597021",0,0,0,"0.262762832701277","1.23145584935532",10,1,3,10,"4080.00000000002",1,6,0,38,331,"F",56,"LREM","1 - Novices","Master"
"411","Bassire","0.132492628119974",0,0,0,"-0.503446408062683","-1.71588442751295",23,2,12,2,"488.999999999999",1,0,0,45,180,"F",49,"LR","1 - 2ndCareer","Master"
"412","Elimas","0.502901935763704",0,0,3,"0.588594229017788","-0.595197094460516",218,2,23,10,"2302.99999999999",11,7,0,124,288,"F",44,"MODEM","6 - PolExp","Master"
"413","Sarles","-0.66408821840219",0,0,0,"-0.333452908148751","0.609571239833806",9,1,22,1,"0.00",1,21,0,8,228,"F",55,"LREM","6 - PolExp","BA_or_less"
"414","Démoulin","-0.66408821840219",0,0,0,"-0.209177687234932","0.261082355702888",83,1,17,0,"3575.00000000002",2,79,0,46,432,"M",45,"LREM","1 - Novices","BA_or_less"
"415","Dupont-Aignan","-0.3659625273557",25,35,7,"-0.257888486866974","-0.918226386278917",23,0,57,20,"186999.999999998",148,202,0,105,52,"M",56,"NI","5 - Incumbent","AboveMaster"
"416","Forissier","-0.886681434341368",2,0,0,"-0.553939016489643","-1.41395843809515",175,2,26,21,"1504.00000000001",6,141,0,51,88,"M",56,"LR","5 - Incumbent","AboveMaster"
"417","Turquois","0.502901935763704",0,0,0,"0.188477811935641","-0.922182245309759",27,0,0,9,"1451.00",3,185,0,105,165,"M",45,"MODEM","1 - 2ndCareer","AboveMaster"
"418","Dubre-Chirat","-0.66408821840219",0,0,0,"-0.803483912225964","0.263006144000429",2,0,12,1,"2418.99999999999",2,13,0,14,440,"F",66,"LREM","1 - Novices","BA_or_less"
"419","Le Peih","0.769426349597021",0,0,0,"-0.15829017469766","2.46986180368618",2,0,8,0,"3283.00000000001",1,36,0,10,310,"F",58,"LREM","1 - LocalRoots","BA_or_less"
"420","Sanquer","-0.666902997868626",0,0,0,"-0.792042222798094","-2.20273258742734",4,0,8,1,"0.00",1,0,0,27,120,"F",45,"LC","6 - PolExp","Master"
"421","Trisse","0.769426349597021",0,0,0,"-0.0989190452923186","0.680881213180254",0,4,14,5,"739.000000000003",2,8,0,16,276,"F",54,"LREM","1 - Novices","NoInfo"
"422","Givernet","0.769426349597021",1,0,0,"-0.272116817176876","-0.026624231024945",2,2,13,3,"1894.00000000001",0,15,0,7,252,"F",36,"LREM","1 - 2ndCareer","Master"
"423","Gregoire","0.769426349597021",13,3,7,"-0.571224944761406","-0.890170472444933",4,2,1,76,"11700.00",34,21,0,51,171,"F",39,"LREM","6 - PolExp","AboveMaster"
"424","Becht","0.381087427353501",0,0,0,"-0.16734534653435","-0.538248338350252",31,1,41,4,"56.00",5,2,0,163,138,"M",41,"LC","4 - Entourage","AboveMaster"
"425","Damaisin","0.769426349597021",0,0,0,"-0.617320753486106","-0.2681722632353",0,2,5,8,"1600.99999999999",4,125,0,12,360,"M",51,"LREM","1 - LocalRoots","NoInfo"
"426","Dassault","0.132492628119974",0,1,0,"-0.627825074924426","-1.67608821824479",1,0,61,3,"4712.00",11,32,0,4,26,"M",66,"LR","5 - Incumbent","AboveMaster"
"427","Falorni","2.5617376914899",1,1,1,"-0.333452908148751","-0.603709977912328",115,0,55,9,"5350.99999999998",38,165,0,31,63,"M",45,"NI","5 - Incumbent","Master"
"428","Faure","0.773899187716289",24,27,8,"-0.636554269336853","-1.52141733152001",22,0,6,29,"31300.0000000006",366,449,0,173,156,"M",49,"NG","5 - Incumbent","Master"
"429","Gaillard","0.769426349597021",0,0,0,"-0.248554283688499","0.91035065947769",105,3,48,3,"2768.99999999999",2,245,0,33,123,"M",50,"LREM","1 - LocalRoots","NoInfo"
"430","Marleix","-0.886681434341368",0,0,3,"3.17948575577603","1.0644411750747",47,2,6,11,"3166.00",33,27,0,78,116,"M",46,"LR","5 - Incumbent","AboveMaster"
"431","Serva","-0.66408821840219",1,0,0,"-0.530891112127292","-1.25027469882946",53,3,7,20,"1927.00",8,7,0,42,64,"M",43,"LREM","6 - PolExp","Master"
"432","Véran","-0.66408821840219",7,9,5,"2.56093201732619","0.59897212888627",271,6,7,18,"10900.00",99,48,0,420,150,"M",37,"LREM","5 - Incumbent","AboveMaster"
"433","Rupin","-0.66408821840219",5,4,2,"-0.773925695765837","-0.859002899503546",3,0,2,18,"7091.00000000001",52,16,0,32,386,"M",32,"LREM","1 - 2ndCareer","AboveMaster"
"434","Bois","-0.66408821840219",0,0,0,"-0.700191259134468","-0.15367894010043",11,0,7,3,"2590.00",1,3,0,12,176,"M",58,"LREM","1 - LocalRoots","NoInfo"
"435","Boyer","0.769426349597021",0,0,0,"-0.414754147238023","-0.907030282348861",38,0,19,6,"145.000000000001",2,0,0,31,448,"F",52,"LREM","6 - PolExp","Master"
