,Elected,Gender,YearBirth,PoliticalParty,TypeofElection,Region,Income2008,Income2009,Income2010,Income2011,Income2012,PoliticalSelfPositioning,PersonalCampaign,CountryofBirth,OccupationalStatus,HighestDiploma,Q1_WomenQuotaCompanies,Q2_RetirementIncrease,Q3_WorkWeekTime,Q4_CompanyChoiceLayoff,Q5_UnemploymentBenefits,Q6_YouthSalary,Q7_PupilsGrade,Q8_StateSchools,Q9_HighSchool2College,Q10_PrivateSchools,Q11_BehaviorGrade,Q12_StateHealthCare,Q13_ChildbirthAllowance,Q14_HelpDisabilities,Q15_ProfitsHealthcare,Q16_UndocumentedHealth,Q17_CapitalTax,Q18_FiscalDeduction,Q19_PrivatizeCompanies,Q20_ParentalLeave.,Q21_SupportRural,Q22_NuclearPowerLess,Q23_DieselTax,Q24_WindPowerLess,Q25_Wolves,Q26_FacilitateAsylum,Q27_LessRefugees,Q28_MunicipalitiesRefugees,Q29_PolicingRefugees,Q30_SwedenEU,Q31_DefenseSpending,Q32_SwedenNATO,Q33_FreeMuseum,Q34_RighttoCopy,Q35_MonitorInternet,Q36_WineSale,Q37_IncomeInequalities,Q38_MoreMarket,Q39_WomenPower,Q40_PunishmentMore,Q41_Multiculti,Q42_ChristianInfluence,Q43_ReturnEducation,Q44_GayRights,Q45_ClimatePriority
218,X,M,1981,ModerateRight (M),R ,Stockholms län,733615,723816,743649,688180,709878,ClearlyRight,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
219,X,M,1978,SwedishDemocrats (SD),R ,Hela landet 1,167263,232142,475401,846898,885023,CenterLeft ,No,Sverige,FullTimePolitician ,UniversityLevel ,Against,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,Against
220,X,M,1980,ChristianDemocrats (KD),R ,Stockholms kommun,432596,425546,542755,519010,554789,CenterRight ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,InFavor,Against,Against,InFavor,Against,Against,Against,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against
221,X,M,1958,SwedishDemocrats (SD),R ,Hela landet 1,276199,291441,314677,348613,369780,CenterLeft ,No,Sverige,FullTimePolitician ,UniversityLevel ,Against,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,Against,Against
222,X,M,1954,SocialDemocrats (S),R ,Jönköpings län,642234,669413,683334,743673,757800,CenterLeft ,No,Sverige,FullTimePolitician ,UniversityLevel ,InFavor,Against,Against,Against,InFavor,Against,Against,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
223,X,M,1978,Peoples Party (F),R ,Östergötlands län,471602,548804,502959,596084,961571,CenterRight ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,Against,Against,Against,InFavor,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
224,X,M,1978,ModerateRight (M),R ,Gävleborgs län,625890,671085,644254,953227,955904,ClearlyRight,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,Against,Against,Against,InFavor,Against,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
225,X,M,1988,SwedishDemocrats (SD),R ,Hela landet 1,2865,54662,222573,312849,375136,ClearlyRight,No,,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,Against,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against
226,X,M,1964,SwedishDemocrats (SD),R ,Hela landet 1,119074,109476,242905,431348,447998,NeitherLeftnorRight,No,Sverige,Other,UniversityLevel ,Against,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against
227,X,F,1956,SocialDemocrats (S),R ,Värmlands län,253869,278777,270491,258436,201123,CenterLeft ,Yes ,Sverige,Other,UniversityLevel ,InFavor,Against,Against,Against,InFavor,Against,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,InFavor,Against,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor
